,Year,kms Driven,Fuel Type,Suspension,Price,Car Model
0,2018,81126, Diesel ,Manual,578000,Honda Amaze
1,2013,70000, Diesel ,Manual,350000,Honda Amaze
2,2013,110000, Diesel ,Manual,200000,Honda Amaze
3,2018,43326, Petrol ,Manual,484999,Honda Amaze
4,2018,43326, Petrol ,Manual,484999,Honda Amaze
5,2017,94423, Petrol ,Manual,315000,Honda Amaze
6,2014,17815, Petrol ,Manual,450000,Honda Amaze
7,2014,55688, Petrol ,Manual,380000,Honda Amaze
8,2018,43326, Petrol ,Manual,484999,Honda Amaze
9,2023,5000, Petrol ,Manual,700000,Honda Amaze
10,2014,54955, Petrol ,Automatic,465000,Honda Amaze
11,2015,46067, Petrol ,Automatic,475000,Honda Amaze
12,2019,11000, Petrol ,Automatic,745000,Honda Amaze
13,2018,149091, Diesel ,Manual,620000,Honda Amaze
14,2018,62312, Diesel ,Manual,550000,Honda Amaze
15,2014,94146, Diesel ,Manual,455999,Honda Amaze
16,2014,91828, Diesel ,Manual,288000,Honda Amaze
17,2014,79324, Diesel ,Manual,299000,Honda Amaze
18,2013,48647, Diesel ,Manual,320000,Honda Amaze
19,2014,27961, Diesel ,Manual,422000,Honda Amaze
20,2015,120000, Diesel ,Manual,400000,Honda Amaze
21,2014,113136, Diesel ,Manual,273000,Honda Amaze
22,2013,169285, Diesel ,Manual,349000,Honda Amaze
23,2013,156064, Diesel ,Manual,327000,Honda Amaze
24,2015,77279, Diesel ,Manual,350000,Honda Amaze
25,2014,71481, Diesel ,Manual,275000,Honda Amaze
26,2013,72071, Diesel ,Manual,450000,Honda Amaze
27,2014,141088, Diesel ,Manual,400000,Honda Amaze
28,2013,114565, Diesel ,Manual,212000,Honda Amaze
29,2016,57571, Petrol ,Manual,415000,Honda Amaze
30,2018,72578, Petrol ,Manual,614000,Honda Amaze
31,2016,33397, Petrol ,Manual,359000,Honda Amaze
32,2018,60000, Petrol ,Manual,550000,Honda Amaze
33,2019,22000, Petrol ,Manual,600000,Honda Amaze
34,2013,25025, Petrol ,Manual,415000,Honda Amaze
35,2015,71561, Petrol ,Manual,380000,Honda Amaze
36,2013,36455, Petrol ,Manual,445000,Honda Amaze
37,2015,61314, Petrol ,Manual,505999,Honda Amaze
38,2016,73494, Petrol ,Manual,423000,Honda Amaze
39,2015,88000, Petrol ,Manual,449000,Honda Amaze
40,2015,64183, Petrol ,Manual,356000,Honda Amaze
