Year,kms Driven,Fuel Type,Suspension,Price,Car Model
2018,81126 kms , Diesel , Manual, 5.78 Lakh,Honda Amaze E i-DTEC
2013,70000 kms , Diesel , Manual, 3.50 Lakh,Honda Amaze E i-Dtech
2013,110000 kms , Diesel , Manual, 2 Lakh,Honda Amaze E i-Dtech
2018,43326 kms , Petrol , Manual, 4.85 Lakh,Honda Amaze E i-VTEC
2018,43326 kms , Petrol , Manual, 4.85 Lakh,Honda Amaze E i-VTEC
2017,94423 kms , Petrol , Manual, 3.15 Lakh,Honda Amaze E i-VTEC
2014,17815 kms , Petrol , Manual, 4.50 Lakh,Honda Amaze E i-Vtech
2014,55688 kms , Petrol , Manual, 3.80 Lakh,Honda Amaze E i-Vtech
2018,43326 kms , Petrol , Manual, 4.85 Lakh,Honda Amaze EX i-Vtech
2023,5000 kms , Petrol , Manual, 7 Lakh,Honda Amaze S
2014,54955 kms , Petrol , Automatic, 4.65 Lakh,Honda Amaze S AT i-Vtech
2015,46067 kms , Petrol , Automatic, 4.75 Lakh,Honda Amaze S AT i-Vtech
2019,11000 kms , Petrol , Automatic, 7.45 Lakh,Honda Amaze S CVT Petrol 
2018,149091 kms , Diesel , Manual, 6.20 Lakh,Honda Amaze S i-DTEC
2018,62312 kms , Diesel , Manual, 5.50 Lakh,Honda Amaze S i-DTEC
2014,94146 kms , Diesel , Manual, 4.56 Lakh,Honda Amaze S i-Dtech
2014,91828 kms , Diesel , Manual, 2.88 Lakh,Honda Amaze S i-Dtech
2014,79324 kms , Diesel , Manual, 2.99 Lakh,Honda Amaze S i-Dtech
2013,48647 kms , Diesel , Manual, 3.20 Lakh,Honda Amaze S i-Dtech
2014,27961 kms , Diesel , Manual, 4.22 Lakh,Honda Amaze S i-Dtech
2015,120000 kms , Diesel , Manual, 4 Lakh,Honda Amaze S i-Dtech
2014,113136 kms , Diesel , Manual, 2.73 Lakh,Honda Amaze S i-Dtech
2013,169285 kms , Diesel , Manual, 3.49 Lakh,Honda Amaze S i-Dtech
2013,156064 kms , Diesel , Manual, 3.27 Lakh,Honda Amaze S i-Dtech
2015,77279 kms , Diesel , Manual, 3.50 Lakh,Honda Amaze S i-Dtech
2014,71481 kms , Diesel , Manual, 2.75 Lakh,Honda Amaze S i-Dtech
2013,72071 kms , Diesel , Manual, 4.50 Lakh,Honda Amaze S i-Dtech
2014,141088 kms , Diesel , Manual, 4 Lakh,Honda Amaze S i-Dtech
2013,114565 kms , Diesel , Manual, 2.12 Lakh,Honda Amaze S i-Dtech
2016,57571 kms , Petrol , Manual, 4.15 Lakh,Honda Amaze S i-VTEC
2018,72578 kms , Petrol , Manual, 6.14 Lakh,Honda Amaze S i-VTEC
2016,33397 kms , Petrol , Manual, 3.59 Lakh,Honda Amaze S i-VTEC
2018,60000 kms , Petrol , Manual, 5.50 Lakh,Honda Amaze S i-VTEC
2019,22000 kms , Petrol , Manual, 6 Lakh,Honda Amaze S i-VTEC
2013,25025 kms , Petrol , Manual, 4.15 Lakh,Honda Amaze S i-Vtech
2015,71561 kms , Petrol , Manual, 3.80 Lakh,Honda Amaze S i-Vtech
2013,36455 kms , Petrol , Manual, 4.45 Lakh,Honda Amaze S i-Vtech
2015,61314 kms , Petrol , Manual, 5.06 Lakh,Honda Amaze S i-Vtech
2016,73494 kms , Petrol , Manual, 4.23 Lakh,Honda Amaze S i-Vtech
2015,88000 kms , Petrol , Manual, 4.49 Lakh,Honda Amaze S i-Vtech
2015,64183 kms , Petrol , Manual, 3.56 Lakh,Honda Amaze S i-Vtech
2014,44688 kms , Petrol , Manual, 4.50 Lakh,Honda Amaze S i-Vtech
2014,87401 kms , Petrol , Manual, 3.10 Lakh,Honda Amaze S i-Vtech
2014,20663 kms , Petrol , Manual, 4.25 Lakh,Honda Amaze S i-Vtech
2018,64812 kms , Diesel , Manual, 6 Lakh,Honda Amaze S Option i-DT
2017,25086 kms , Petrol , Manual, 5.68 Lakh,Honda Amaze S Option i-VT
2020,30405 kms , Petrol , Manual, 6.50 Lakh,Honda Amaze S Petrol
2019,41000 kms , Petrol , Manual, 6.09 Lakh,Honda Amaze S Petrol
2021,2867 kms , Petrol , Manual, 7.50 Lakh,Honda Amaze S Petrol
2019,20121 kms , Petrol , Manual, 6.14 Lakh,Honda Amaze S Petrol BSIV
2017,42644 kms , Petrol , Manual, 4.36 Lakh,Honda Amaze S Petrol BSIV
2019,34876 kms , Petrol , Manual, 6.65 Lakh,Honda Amaze S Petrol BSIV
2019,21744 kms , Petrol , Manual, 5.50 Lakh,Honda Amaze S Petrol BSIV
2015,81506 kms , CNG , Manual, 4.21 Lakh,Honda Amaze S Plus i-VTEC
2016,59796 kms , Petrol , Manual, 4.80 Lakh,Honda Amaze SX i VTEC
2017,53000 kms , Petrol , Manual, 5.20 Lakh,Honda Amaze SX i VTEC
2013,40393 kms , Petrol , Manual, 3.35 Lakh,Honda Amaze SX i-VTEC
2014,29000 kms , Petrol , Manual, 4.25 Lakh,Honda Amaze SX i-VTEC
2016,61248 kms , Petrol , Manual, 3.75 Lakh,Honda Amaze SX i-VTEC
2019,68816 kms , Diesel , Automatic, 7.95 Lakh,Honda Amaze V CVT Diesel 
2019,30906 kms , Petrol , Automatic, 7.97 Lakh,Honda Amaze V CVT Petrol 
2019,21582 kms , Petrol , Automatic, 7.50 Lakh,Honda Amaze V CVT Petrol 
2019,10925 kms , Petrol , Automatic, 7.75 Lakh,Honda Amaze V CVT Petrol 
2019,33168 kms , Petrol , Manual, 6.99 Lakh,Honda Amaze V Petrol BSIV
2018,40217 kms , Petrol , Manual, 6.98 Lakh,Honda Amaze V Petrol BSIV
2018,9205 kms , Petrol , Manual, 6.50 Lakh,Honda Amaze V Petrol BSIV
2015,133745 kms , Petrol , Automatic, 4.40 Lakh,Honda Amaze VX AT i-Vtech
2013,41000 kms , Petrol , Automatic, 5.11 Lakh,Honda Amaze VX AT i-Vtech
2015,26000 kms , Petrol , Automatic, 4.95 Lakh,Honda Amaze VX AT i-Vtech
